Texte,Emotion
C’est totalement injuste !,Colère
Je suis au bord de l’explosion !,Colère
Ça me met hors de moi !,Colère
J’en ai ras-le-bol !,Colère
C’est insupportable !,Colère
Tu me rends fou/folle !,Colère
Ça suffit maintenant !,Colère
Tu dépasses les bornes !,Colère
Je suis excédé(e) !,Colère
Pourquoi faut-il toujours que ça m’arrive ?!,Colère
Je ne tolérerai pas ça !,Colère
Tu me mets dans une colère noire !,Colère
Je perds patience !,Colère
Arrête tes bêtises !,Colère
Je n’en peux plus !,Colère
Assez de tes mensonges !,Colère
Tu m’agaces au plus haut point !,Colère
Je suis furieux/furieuse !,Colère
Je brûle de rage !,Colère
C’est du grand n’importe quoi !,Colère
Je suis scandalisé !,Colère
Je n’en peux plus de cette situation.,Colère
Tu dépasses les bornes cette fois !,Colère
Ce comportement est inadmissible.,Colère
Pourquoi ça tombe toujours sur moi ?!,Colère
Arrête de me dire ce genre de choses !,Colère
Je vais exploser si ça continue !,Colère
C’est du grand n’importe quoi !,Colère
Je ne supporte plus ces critiques.,Colère
Tout ça me met hors de moi.,Colère
Il exagère vraiment cette fois.,Colère
J’en ai assez qu’on me traite ainsi.,Colère
C’est toujours moi qu’on accuse.,Colère
Ils me poussent à bout.,Colère
Je vais finir par craquer.,Colère
C’est insupportable cette injustice.,Colère
Je ne tolérerai pas ça.,Colère
On se moque de moi ou quoi ?,Colère
Je suis furieuse contre toi.,Colère
Ce genre de comportement me met en rage.,Colère
"Encore une fois, on me manque de respect.",Colère
Tu ne comprends jamais rien !,Colère
C’est inadmissible de faire ça.,Colère
J’ai envie de crier tellement je suis en colère.,Colère
Il joue avec mes nerfs.,Colère
Pourquoi tu fais toujours ça ?,Colère
Je suis à bout de patience.,Colère
Il me rend folle celui-là.,Colère
On me prend pour une idiote.,Colère
"Assez, je n’en peux plus !",Colère
Tu vas voir ce que tu vas voir.,Colère
Je déteste cette situation.,Colère
Il abuse vraiment de ma gentillesse.,Colère
Je ne te pardonnerai jamais.,Colère
J’en ai marre qu’on me piétine.,Colère
"C’est trop, je claque la porte.",Colère
Tu vas regretter tes paroles.,Colère
Je n’arrive pas à me calmer.,Colère
Je suis en rage totale.,Colère
Ça suffit maintenant !,Colère
Tu n’as aucun respect pour moi.,Colère
On dirait que tu fais exprès.,Colère
Je suis excédée par ton attitude.,Colère
Je suis à bout.,Colère
Je suis sur le point de hurler.,Colère
Il m’a fait perdre mon sang-froid.,Colère
Tu n’es qu’un égoïste.,Colère
Tu dépasses toutes les limites.,Colère
Je n’ai jamais été aussi en colère.,Colère
C’est le comble de l’irrespect.,Colère
Tu me pousses à bout exprès ou quoi ?,Colère
J’en ai ras-le-bol !,Colère
Tu crois que c’est normal de faire ça ?,Colère
C’est toujours pareil avec toi.,Colère
Je suis épuisé de devoir toujours me justifier.,Colère
Tu m’as vraiment blessé cette fois.,Colère
C’est insensé ce que tu viens de dire.,Colère
Je suis à bout de nerfs.,Colère
Je ne peux plus te faire confiance.,Colère
C’est de la pure provocation !,Colère
Tu m’as mis dans une situation intenable.,Colère
Je me sens tellement seul aujourd’hui.,Tristesse
Mon cœur est lourd de chagrin.,Tristesse
Je n’ai plus la force de continuer.,Tristesse
Rien ne semble aller correctement.,Tristesse
Je me sens perdu dans ma vie.,
Je me sens complètement brisé,Tristesse
Mon cœur est lourd de chagrin,Tristesse
Les larmes ne cessent de couler,Tristesse
Je n’ai plus la force de sourire,Tristesse
Tout me paraît si sombre aujourd’hui,Tristesse
Je me sens profondément vide,Tristesse
Chaque jour est une lutte,Tristesse
La tristesse m’envahit sans fin,Tristesse
Je ne trouve plus de joie,Tristesse
Mon moral est au plus bas,Tristesse
Je pleure en silence,Tristesse
Rien ne parvient à me consoler,Tristesse
Je me sens abandonné,Tristesse
Le vide me ronge de l’intérieur,Tristesse
Je n’arrive plus à avancer,Tristesse
Tout me semble inutile,Tristesse
Je suis submergé par la mélancolie,Tristesse
Je porte une douleur profonde,Tristesse
Mon cœur se brise un peu plus chaque jour,Tristesse
Je me sens isolé et délaissé,Tristesse
Je n’ai plus d’espoir,Tristesse
Je suis perdu dans mes pensées sombres,Tristesse
Je ne sais pas comment sortir de cette tristesse,Tristesse
Je me sens comme un étranger dans ma propre vie,Tristesse
Je suis fatigué de lutter contre la douleur,Tristesse
Je me sens comme un naufragé,Tristesse
Je suis prisonnier de mes pensées,Tristesse
Je ne vois plus d’avenir,Tristesse
Je suis entouré de gens mais je me sens seul,Tristesse
Je me sens comme un fantôme,Tristesse
Je suis en proie à la mélancolie,Tristesse
Je me sens comme si je n’existais pas,Tristesse
Je suis submergé par la tristesse,Tristesse
Je me sens comme si je portais un poids énorme,Tristesse
Je suis fatigué de pleurer,Tristesse
Je me sens comme si je n’avais pas de but,Tristesse
Je suis perdu dans mes pensées sombres,Tristesse
Je me sens comme si je n’avais pas de valeur,Tristesse
Je suis en proie à la mélancolie,Tristesse
Je me sens comme si je n’avais pas de place dans ce monde,Tristesse
Je suis submergé par la tristesse,Tristesse
Je me sens comme si je n’avais pas de voix,Tristesse
Je suis fatigué de faire semblant,Tristesse
Je me sens comme si je n’avais pas de raison d’être,Tristesse
Je suis perdu dans mes pensées sombres,Tristesse
Je me sens comme si je n’avais pas de but dans la vie,Tristesse
Je suis en proie à la mélancolie,Tristesse
Je me sens comme si je n’avais pas de place dans ce monde,Tristesse
Je suis submergé par la tristesse,Tristesse
Je me sens comme si je n’avais pas de voix,Tristesse
Je suis fatigué de faire semblant,Tristesse
Je suis triste,Tristesse
Il n’y a plus aucune lumière à suivre.,Tristesse
Je pleure presque tous les soirs.,Tristesse
Tout me semble inutile.,Tristesse
La tristesse m’envahit chaque jour.,Tristesse
Je me sens profondément abandonné.,Tristesse
Je me sens vide à l’intérieur.,Tristesse
Personne ne me comprend.,Tristesse
Je suis fatigué de tout ça.,Tristesse
Je n’ai plus goût à rien.,Tristesse
Pourquoi est-ce que tout va mal ?,Tristesse
Je n’ai plus la motivation pour avancer.,Tristesse
Je me sens inutile.,Tristesse
Tout le monde m’oublie.,Tristesse
Je suis blessé profondément.,Tristesse
Je vis un cauchemar.,Tristesse
Je me sens trahi.,Tristesse
La douleur ne passe pas.,Tristesse
Je n’arrive pas à tourner la page.,Tristesse
J’ai perdu espoir.,Tristesse
Rien ne me console.,Tristesse
Je vis avec un grand vide.,Tristesse
Je suis las de tout cela.,Tristesse
Je me sens oppressé par la peine.,Tristesse
Je n’ai personne à qui parler.,Tristesse
Chaque jour est plus dur.,Tristesse
Je suis dans le noir total.,Tristesse
Je ne veux plus sortir de chez moi.,Tristesse
Je suis envahi par la mélancolie.,Tristesse
Mon cœur pleure en silence.,Tristesse
J’ai envie de disparaître.,Tristesse
Je souffre en silence.,Tristesse
Je me sens exclu du monde.,Tristesse
La vie me pèse.,Tristesse
Je suis brisé à l’intérieur.,Tristesse
Tout me fait mal.,Tristesse
Je suis fatigué d’avoir mal.,Tristesse
Les souvenirs me hantent.,Tristesse
Je ne me reconnais plus.,Tristesse
Je n’ai plus la force de me battre.,Tristesse
Je suis au fond du gouffre.,Tristesse
Plus rien n’a de sens.,Tristesse
Je n’ai que mes larmes pour compagnon.,Tristesse
Je sombre un peu plus chaque jour.,Tristesse
Même les bons moments ne suffisent plus.,Tristesse
Je veux juste qu’on me laisse pleurer.,Tristesse
Je n’arrive plus à sourire.,Tristesse
Je n’arrive plus à trouver le bonheur.,Tristesse
Même le soleil ne m’éclaire plus.,Tristesse
Je me sens invisible aux yeux des autres.,Tristesse
Je traîne ma peine comme un fardeau.,Tristesse
Je suis plongé dans une profonde détresse.,Tristesse
Chaque sourire est une lutte.,Tristesse
Je ne ressens que du vide autour de moi.,Tristesse
Je ne veux plus lutter.,Tristesse
Je suis noyé dans mes pensées sombres.,Tristesse
Je n’ai plus la force d’espérer.,Tristesse
Je suis tellement heureux aujourd’hui !,Joie
C’est une journée magnifique.,Joie
Je viens de recevoir une super nouvelle !,Joie
Je me sens rempli de bonheur.,Joie
Je souris sans raison.,Joie
Tout va bien dans ma vie.,Joie
Je suis content de te voir !,Joie
J’ai réussi mon examen !,Joie
Je suis tellement heureux,Joie
C’est une journée incroyable,Joie
Je déborde de bonheur,Joie
Mon cœur est rempli de joie,Joie
Je suis aux anges,Joie
Je rayonne de bonheur,Joie
Rien ne pourrait gâcher ma bonne humeur,Joie
Je suis comblé,Joie
Je ris aux éclats,Joie
Tout me semble merveilleux,Joie
Je me sens léger,Joie
Je suis emballé par cette nouvelle,Joie
Je fonds de joie,Joie
C’est un jour de fête,Joie
Je suis de bonne humeur,Joie
Je vis un rêve éveillé,Joie
Je savoure chaque instant,Joie
Le bonheur m’envahit,Joie
Je me sens plein d’enthousiasme,Joie
Je suis en pleine forme,Joie
Je suis tellement reconnaissant,Joie
Je suis entouré de gens formidables,Joie
Je me sens chanceux,Joie
Je suis sur un petit nuage,Joie
Je suis ravi de cette surprise,Joie
Je suis heureux comme un enfant,Joie
C’est génial ce qui m’arrive.,Joie
La vie est belle !,Joie
Je danse de joie.,Joie
Je suis comblé.,Joie
Je n’ai jamais été aussi heureux.,Joie
C’est merveilleux.,Joie
Je me sens léger et libre.,Joie
J’ai le cœur en fête.,Joie
Tout me fait plaisir aujourd’hui.,Joie
Je ris aux éclats.,Joie
Je me sens vivant.,Joie
Je suis tellement fier de moi.,Joie
Je ne peux pas m’arrêter de sourire.,Joie
Ce moment est parfait.,Joie
C’est l’un des plus beaux jours de ma vie.,Joie
Je suis sur un petit nuage.,Joie
Je respire le bonheur.,Joie
Quelle belle surprise !,Joie
J’adore ce sentiment de paix intérieure.,Joie
Je suis entouré d’amour.,Joie
Je savoure chaque seconde.,Joie
Je suis épanoui.,Joie
Je suis de bonne humeur.,Joie
Le monde est magnifique.,Joie
Je suis chanceux d’avoir tout ça.,Joie
Je me sens heureux sans raison particulière.,Joie
Je vis un rêve éveillé.,Joie
Je ressens une immense gratitude.,Joie
Je suis en paix avec moi-même.,Joie
Je souris à la vie.,Joie
Tout est merveilleux autour de moi.,Joie
Je suis plein d’enthousiasme.,Joie
Je suis content de vivre cet instant.,Joie
J’ai une pêche incroyable aujourd’hui.,Joie
Je saute de joie.,Joie
Je suis excité comme un enfant.,Joie
Le bonheur est partout aujourd’hui.,Joie
Je me sens libre comme l’air.,Joie
Je ris sans arrêt.,Joie
Je suis de très bonne humeur.,Joie
Je suis rempli d’énergie positive.,Joie
C’est une fête dans mon cœur.,Joie
Ce moment est magique.,Joie
Je me sens pousser des ailes.,Joie
C’est une explosion de bonheur en moi.,Joie
Je suis tellement fier de ce que j’ai accompli.,Joie
Le monde me paraît merveilleux aujourd’hui.,Joie
Je me réveille avec le sourire.,Joie
Je n’arrête pas de fredonner tellement je suis heureux.,Joie
Tout me semble plus beau aujourd’hui.,Joie
J’ai envie de partager ma joie avec tout le monde.,Joie
C’est une sensation incroyable de bien-être.,Joie
Rien ne pourrait gâcher ma bonne humeur.,Joie
J’ai peur de ce qui pourrait arriver demain.,Peur
Quelque chose d’inquiétant semble imminent.,Peur
Mon cœur s’accélère dès que je pense à cette situation.,Peur
Ce lieu me met profondément mal à l’aise.,Peur
Je crains de ne jamais y arriver.,Peur
Je tremble à l’idée de l’affronter.,Peur
Je ressens un danger invisible tout autour de moi.,Peur
Chaque bruit me fait sursauter dans cette maison.,Peur
Je suis terrifié par cette expérience.,Peur
Quelque chose de mauvais est sur le point de se produire.,Peur
Je ne me sens pas en sécurité.,Peur
Ce silence est angoissant.,Peur
Je me sens traqué.,Peur
Je suis figé par la peur.,Peur
Je n’arrive plus à respirer normalement.,Peur
J’ai une boule au ventre.,Peur
Et s’il m’arrivait quelque chose ?,Peur
Je me sens observé.,Peur
Je suis terrifié,Peur
J'ai peur du noir,Peur
Mon cœur s'emballe,Peur
Je tremble de peur,Peur
J'ai des sueurs froides,Peur
Je suis paniqué,Peur
Cette situation m'angoisse,Peur
Je crains le pire,Peur
Je me sens traqué,Peur
Je n'ose plus bouger,Peur
Je suis tétanisé,Peur
Je suffoque de peur,Peur
Je me sens vulnérable,Peur
J'ai le souffle coupé,Peur
Je frissonne de terreur,Peur
Je redoute chaque instant,Peur
Je suis figé par l'effroi,Peur
Quelque chose me fait peur,Peur
Je crains chaque bruit,Peur
Je n'arrive pas à me calmer,Peur

Je n’arrive pas à fermer l’œil.,Peur
J’ai peur de l’inconnu.,Peur
Je redoute cette situation.,Peur
Tout cela me rend très nerveux.,Peur
Je suis inquiet pour demain.,Peur
Je suis pris de panique.,Peur
J’ai des sueurs froides.,Peur
Ce rêve m’a glacé le sang.,Peur
Je n’ose pas sortir de chez moi.,Peur
Je suis angoissé à l’idée de partir.,Peur
J’ai le souffle court à cause du stress.,Peur
Je ressens une tension constante.,Peur
J’ai peur qu’il m’arrive un accident.,Peur
Je crains de perdre le contrôle.,Peur
Tout cela me donne des frissons.,Peur
Je suis terrorisé à l’idée de tomber malade.,Peur
Je suis sur mes gardes.,Peur
J’ai l’impression qu’on me suit.,Peur
Je ne veux pas être seul.,Peur
Je vérifie constamment la porte.,Peur
Je me sens vulnérable.,Peur
Je sursaute au moindre bruit.,Peur
Je suis tétanisé.,Peur
Je ressens une grande insécurité.,Peur
Je me sens piégé.,Peur
J’ai peur du noir.,Peur
Cette ambiance est trop étrange.,Peur
Je me méfie de tout le monde.,Peur
Mon imagination me joue des tours.,Peur
J’ai peur de ne pas être à la hauteur.,Peur
Je me sens acculé.,Peur
Je n’arrive pas à rester calme.,Peur
Je vais faire les courses cet après-midi.,Neutre
Le ciel est bleu aujourd’hui.,Neutre
Je mange un sandwich pour le déjeuner.,Neutre
Il pleut dehors en ce moment.,Neutre
Je regarde un film tranquillement chez moi.,Neutre
Je lis un livre dans le parc.,Neutre
Je travaille sur mon ordinateur toute la journée.,Neutre
Je prends un café avec un ami.,Neutre
Je suis dans le bus pour aller en ville.,Neutre
Je vais me coucher bientôt.,Neutre
Je fais la vaisselle.,Neutre
Je me rends à la bibliothèque.,Neutre
Je fais une promenade.,Neutre
Je consulte mes mails.,Neutre
Je bois de l’eau.,Neutre
Je prépare le dîner.,Neutre
Je nettoie la maison.,Neutre
Je mets à jour mon agenda.,Neutre
Je range ma chambre.,Neutre
Je vais au marché.,Neutre
Je réponds à des messages.,Neutre
Je plie le linge.,Neutre
Je fais du sport à la maison.,Neutre
Je change les draps.,Neutre
Je recharge mon téléphone.,Neutre
Je regarde les infos à la télé.,Neutre
Je trie mes papiers.,Neutre
Je fais une liste de courses.,Neutre
Je joue à un jeu sur mon téléphone.,Neutre
Je fais une sieste.,Neutre
Je prends une douche.,Neutre
Je me brosse les dents.,Neutre
Je sors les poubelles.,Neutre
Je regarde par la fenêtre.,Neutre
Je fais du rangement.,Neutre
Je discute avec un voisin.,Neutre
Je cuisine des pâtes.,Neutre
Je note mes dépenses.,Neutre
Je bois un thé chaud.,Neutre
Je mets de la musique.,Neutre
Je consulte un site internet.,Neutre
Je m’habille pour sortir.,Neutre
Je regarde mon planning.,Neutre
Je prends le train.,Neutre
Je vais au travail.,Neutre
Je range mes affaires.,Neutre
Je me promène dans le quartier.,Neutre
Je fais une pause.,Neutre
Je vérifie l’heure.,Neutre
Quelle heure est-il ?,Neutre
Quel jour sommes-nous ?,Neutre
Où se trouve la bibliothèque ?,Neutre
Comment puis-je vous aider ?,Neutre
Quel temps fait-il aujourd’hui ?,Neutre
Peux-tu répéter s’il te plaît ?,Neutre
Où est la station de métro la plus proche ?,Neutre
À quelle heure ouvre le magasin ?,Neutre
Quel est le prix de ce produit ?,Neutre
Comment fonctionne cette application ?,Neutre
Peux-tu m’indiquer le chemin vers le parc ?,Neutre
Y a‑t‑il un café à proximité ?,Neutre
Comment me rendre à la gare ?,Neutre
Quel est le numéro de téléphone du service client ?,Neutre
Peut-on payer par carte bancaire ?,Neutre
Quel est le mot de passe Wi‑Fi ?,Neutre
Puis-je réserver une table pour deux ?,Neutre
Où est la salle de réunion ?,Neutre
Quel plat recommandes-tu ?,Neutre
Comment écrire ce mot correctement ?,Neutre
Bonjour,Neutre
Salut,Neutre
Bonsoir,Neutre
Salut tout le monde !,Neutre
Bonjour à tous !,Neutre
Hey,Neutre
Coucou,Neutre
Hello,Neutre
Salut à toi !,Neutre
Bonjour cher ami !,Neutre
Salut les amis !,Neutre
Bien le bonjour !,Neutre
Bonjour tout le monde !,Neutre
Salut toi !,Neutre
Bonsoir tout le monde !,Neutre
Bonjour comment allez-vous ?,Neutre
Salut comment ça va ?,Neutre
Bonjour à tous et à toutes !,Neutre
Comment tu vas ?,Neutre
quoi de neuf ?,Neutre
comment s’est passée ta journée ?,Neutre
ça fait longtemps !,Neutre
comment tu vas,Neutre